,book_name,book_price
0,"Too Good to Be True : A smart, funny will-they-won’t-they romance",₹289.00
1,Atomic Habits,₹569.00
2,"Educart CBSE Class 10 Most Likely Sets of Sample Papers - Science, Maths Standard, Social Science & English (with Answer Writing Sheets 2024-25)",₹494.00
3,Amma Diarylo Konni Pageelu,₹220.00
4,Dopamine Detox : A Short Guide to Remove Distractions and Get Your Brain to Do Hard Things,₹199.00
5,Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,₹199.00
6,White Nights,₹124.00
7,Ikigai: Japanese secret to long and happy life,₹357.00
8,Enlightenment: A New Beginning,₹229.00
9,My First Book of Patterns Pencil Control: Patterns Practice book for kids (Pattern Writing),₹129.00
10,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,₹192.00
11,The Power of Your Subconscious Mind: Original Edition | Premium Paperback,₹149.00
12,"Courage To Be Disliked, The: How to free yourself, change your life and achieve real happiness",₹346.00
13,"PW NTA NEET Rankers Test Series 2025 Verified & Curated by Expert Faculties | 10 Full Syllabus + 4 Part Syllabus (Class 11 & 12) | OMR Sheet, Solution Booklet with NCERT References",₹624.00
14,Own Your Body,₹322.00
15,SSC Delhi Police Chapterwise General Awareness + Maths + Reasoning TCS PYQs Solved Papers COMBO 2025 Edition (Hindi Medium)(DP COMBO H),₹165.00
16,The Power of Your Subconscious Mind: Original Classic Edition | Premium Paperback,₹149.00
